query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate,ret_top1_lang
1000422,zh-en,纽约州怀wyoming county在哪里,"[""7930357|en"", ""7930357|es"", ""7930357|zh""]","[""7930357|zh"", ""114326|zh"", ""7107732|zh"", ""7557477|zh"", ""7665831|zh"", ""7917146|zh"", ""201255|zh"", ""7095246|zh"", ""7951505|zh"", ""2107598|zh""]",0.4,zh
1000459,zh-en,黑寡妇蜘蛛live在美国的什么地方？,"[""7263355|en"", ""7263355|es"", ""7263355|zh"", ""7263359|en"", ""7263359|es"", ""7263359|zh""]","[""7263359|zh"", ""7578709|zh"", ""7263355|zh"", ""7523861|zh"", ""891268|zh"", ""3045169|zh"", ""7095246|zh"", ""7264405|zh"", ""7165251|zh"", ""7280205|zh""]",0.125,zh
1000462,zh-en,有氧运动在哪里takes place,"[""7263327|en"", ""7263327|es"", ""7263327|zh""]","[""7119390|zh"", ""7095246|zh"", ""7230044|zh"", ""7433530|zh"", ""3003239|zh"", ""7462410|zh"", ""7263327|zh"", ""7450076|zh"", ""7866317|zh"", ""7275181|zh""]",0.19999999999999996,zh
1000495,zh-en,yellowknife canada在哪里,"[""7734091|en"", ""7734091|es"", ""7734091|zh""]","[""7734091|zh"", ""7276446|zh"", ""7095246|zh"", ""7758529|zh"", ""7268317|zh"", ""7824252|zh"", ""7852802|zh"", ""891268|zh"", ""7765502|zh"", ""7510723|zh""]",0.6,zh
1000528,zh-en,定义： gluteal,"[""7263134|en"", ""7263134|es"", ""7263134|zh""]","[""1107422|zh"", ""7414613|zh"", ""7168692|zh"", ""7934577|zh"", ""7154219|zh"", ""7237227|zh"", ""7856485|zh"", ""7122592|zh"", ""7567137|zh"", ""7251229|zh""]",0.5,zh
1000555,zh-en,battle lex在哪里,"[""7263043|en"", ""7263043|es"", ""7263043|zh""]","[""7604393|zh"", ""7266516|zh"", ""7828241|zh"", ""7730364|zh"", ""7213082|zh"", ""7468857|zh"", ""7263043|zh"", ""7769895|zh"", ""7660614|zh"", ""7095246|zh""]",0.5,zh
1000564,zh-en,define ： farfetch,"[""7262976|en"", ""7262976|es"", ""7262976|zh""]","[""7262976|en"", ""7262976|es"", ""7251005|en"", ""7723320|en"", ""7781804|en"", ""7925882|en"", ""7389417|es"", ""7308987|en"", ""7389417|en"", ""7774114|en""]",0.5,en
1000568,zh-en,马拉拉在哪里give她的诺贝尔奖演讲,"[""7262932|en"", ""7262932|es"", ""7262932|zh""]","[""7262932|zh"", ""7272917|zh"", ""7245028|zh"", ""7795356|zh"", ""7964304|zh"", ""2252799|zh"", ""7938563|zh"", ""7078672|zh"", ""7605403|zh"", ""7837350|zh""]",0.11111111111111116,zh
1000585,zh-en,颌骨take place在哪里,"[""7262837|en"", ""7262837|es"", ""7262837|zh""]","[""7697006|zh"", ""7720508|zh"", ""7694941|zh"", ""7353242|zh"", ""7983062|zh"", ""7308987|zh"", ""7765557|zh"", ""7095246|zh"", ""7448849|zh"", ""3003239|zh""]",0.25,zh
1000670,zh-en,chris hogan ) 的本科学位是从哪里获得的,"[""7262650|en"", ""7262650|es"", ""7262650|zh""]","[""7262650|zh"", ""7087585|zh"", ""7508637|zh"", ""7598745|zh"", ""7695178|zh"", ""1623543|zh"", ""107739|zh"", ""7119241|zh"", ""7415928|zh"", ""7275935|zh""]",0.18181818181818177,zh
1000671,zh-en,你的pancreas在身体的哪个位置,"[""7949238|en"", ""7949238|es"", ""7949238|zh""]","[""7949238|zh"", ""7476493|zh"", ""7902167|zh"", ""7769148|zh"", ""480701|zh"", ""3003239|zh"", ""7375416|zh"", ""7285586|zh"", ""7930625|zh"", ""3529255|zh""]",0.125,zh
1000678,zh-en,captain james cook去哪里探索了？,"[""7262611|en"", ""7262611|es"", ""7262611|zh""]","[""7262611|zh"", ""3769822|zh"", ""7867789|zh"", ""7769895|zh"", ""7213206|zh"", ""7728998|zh"", ""7886401|zh"", ""7720508|zh"", ""7225891|zh"", ""7095246|zh""]",0.4285714285714286,zh
1000679,zh-en,定义： deadeye,"[""7262592|en"", ""7262592|es"", ""7262592|zh""]","[""7262592|zh"", ""7750059|zh"", ""7712185|zh"", ""7391131|zh"", ""7462294|zh"", ""7174697|zh"", ""7239292|zh"", ""7658037|zh"", ""7675212|zh"", ""7164082|zh""]",0.5,zh
1000681,zh-en,barack obama是从哪里接受教育的,"[""7262574|en"", ""7262574|es"", ""7262574|zh"", ""7262575|en"", ""7262575|es"", ""7262575|zh""]","[""7262575|zh"", ""7087585|zh"", ""107739|zh"", ""7290474|zh"", ""7593504|zh"", ""7682771|zh"", ""7262574|zh"", ""7233959|zh"", ""7940491|zh"", ""3368477|zh""]",0.2857142857142857,zh
1000697,zh-en,你在哪里可以看太空launch,"[""7262540|en"", ""7262540|es"", ""7262540|zh""]","[""7445896|zh"", ""7095246|zh"", ""3307009|zh"", ""7908936|zh"", ""7636646|zh"", ""7867789|zh"", ""7765502|zh"", ""7220119|zh"", ""7287774|zh"", ""7273122|zh""]",0.1428571428571429,zh
1000709,zh-en,你在哪里可以从farm pond中获取土壤样本进行碱度测试,"[""7262522|en"", ""7262522|es"", ""7262522|zh""]","[""7262522|zh"", ""7598139|zh"", ""7902167|zh"", ""7456844|zh"", ""7924615|zh"", ""7908936|zh"", ""7289632|zh"", ""7620582|zh"", ""7732805|zh"", ""7229200|zh""]",0.1428571428571429,zh
1000715,zh-en,你在哪里可以find可可,"[""7262482|en"", ""7262482|es"", ""7262482|zh""]","[""7262482|zh"", ""7411721|zh"", ""7902167|zh"", ""7908936|zh"", ""7671593|zh"", ""7335442|zh"", ""7265903|zh"", ""7964304|zh"", ""7746205|zh"", ""7235939|zh""]",0.16666666666666663,zh
1000718,zh-en,定义： courtly love,"[""7262478|en"", ""7262478|es"", ""7262478|zh""]","[""7784934|zh"", ""7519834|zh"", ""7733393|zh"", ""7171844|zh"", ""7640856|zh"", ""240751|zh"", ""7610318|zh"", ""7591596|zh"", ""7637851|zh"", ""7337058|zh""]",0.6666666666666667,zh
1000849,zh-en,莱昂纳多born的地方,"[""7782982|en"", ""7782982|es"", ""7782982|zh""]","[""7782982|zh"", ""7234151|zh"", ""3045169|zh"", ""7690743|zh"", ""7495093|zh"", ""7095246|zh"", ""7734091|zh"", ""7119137|zh"", ""8003474|zh"", ""7651740|zh""]",0.25,zh
1000875,zh-en,定义： confidential,"[""7262309|en"", ""7262309|es"", ""7262309|zh""]","[""7262309|zh"", ""7187968|zh"", ""7293470|zh"", ""7172447|zh"", ""7577273|zh"", ""7989914|zh"", ""7577342|zh"", ""7640856|zh"", ""7313355|zh"", ""7687342|zh""]",0.5,zh
1000961,zh-en,哪里或什么是主要banks,"[""7772721|en"", ""7772721|es"", ""7772721|zh""]","[""7772721|zh"", ""7289397|zh"", ""7738424|zh"", ""7827447|zh"", ""7238172|zh"", ""7200386|zh"", ""284458|zh"", ""7849778|zh"", ""297647|zh"", ""7993617|zh""]",0.16666666666666663,zh
1001008,zh-en,感觉坐pain的地方,"[""7791718|en"", ""7791718|es"", ""7791718|zh"", ""7791719|en"", ""7791719|es"", ""7791719|zh""]","[""7791719|zh"", ""7791718|zh"", ""7902167|zh"", ""7095246|zh"", ""3326733|zh"", ""5293044|zh"", ""7623855|zh"", ""7123866|zh"", ""7677110|zh"", ""7231321|zh""]",0.4,zh
1001059,zh-en,甘油三酯储存在哪里以满足未来的energy needs,"[""7262137|en"", ""7262137|es"", ""7262137|zh""]","[""7262137|zh"", ""7781959|zh"", ""7113831|zh"", ""7307998|zh"", ""7663540|zh"", ""7907089|zh"", ""7796444|zh"", ""7746844|zh"", ""7107597|zh"", ""7609735|zh""]",0.11111111111111116,zh
1001108,zh-en,染色体向细胞两极moving的地方,"[""7870036|en"", ""7870036|es"", ""7870036|zh""]","[""7285710|zh"", ""7870036|zh"", ""7134979|zh"", ""7577350|zh"", ""2196128|zh"", ""7102701|zh"", ""7943897|zh"", ""1111528|zh"", ""7534069|zh"", ""7860609|zh""]",0.1428571428571429,zh
100119,zh-en,cortana高达cheese来自哪里。,"[""7300657|en"", ""7300657|es"", ""7300657|zh""]","[""7300657|zh"", ""834442|zh"", ""7849522|zh"", ""7823298|zh"", ""157069|zh"", ""7529532|zh"", ""7220685|zh"", ""7823940|zh"", ""7164385|zh"", ""7750358|zh""]",0.5,zh
1001329,zh-en,伦敦哪里eat贵,"[""7871089|en"", ""7871089|es"", ""7871089|zh""]","[""7495093|zh"", ""7871089|zh"", ""7748175|zh"", ""7817129|zh"", ""7906331|zh"", ""7145230|zh"", ""823854|zh"", ""5908173|zh"", ""7105586|zh"", ""7164845|zh""]",0.33333333333333337,zh
1001367,zh-en,哪里可以find亚克力粉,"[""7913884|en"", ""7913884|es"", ""7913884|zh""]","[""7913884|zh"", ""7445055|zh"", ""7902167|zh"", ""7084892|zh"", ""7908936|zh"", ""7303131|zh"", ""7264409|zh"", ""7454642|zh"", ""7953762|zh"", ""7101625|zh""]",0.33333333333333337,zh
1001397,zh-en,define ：弹幕,"[""7261899|en"", ""7261899|es"", ""7261899|zh""]","[""7261899|zh"", ""7630225|zh"", ""7997923|zh"", ""7199557|zh"", ""7251005|zh"", ""7372091|zh"", ""7280523|zh"", ""1835905|zh"", ""7964957|zh"", ""6146787|zh""]",0.5,zh
1001438,zh-en,哪里可以找到golden trout,"[""7886545|en"", ""7886545|es"", ""7886545|zh""]","[""7769895|zh"", ""7945160|zh"", ""7908936|zh"", ""7696396|zh"", ""7204661|zh"", ""7095246|zh"", ""354750|zh"", ""7737065|zh"", ""7964304|zh"", ""3045169|zh""]",0.4,zh
1001443,zh-en,define ：委托,"[""7261869|en"", ""7261869|es"", ""7261869|zh""]","[""7261869|zh"", ""7174697|zh"", ""7293150|zh"", ""7214434|zh"", ""7147274|zh"", ""7552122|zh"", ""7236813|zh"", ""8008865|zh"", ""7262592|zh"", ""7850739|zh""]",0.5,zh
1001470,zh-en,哪里可以find野生半边莲,"[""7789885|en"", ""7789885|es"", ""7789885|zh""]","[""7789885|zh"", ""7358483|zh"", ""7165251|zh"", ""7970697|zh"", ""7620721|zh"", ""7937084|zh"", ""7605403|zh"", ""7692482|zh"", ""7095246|zh"", ""7682029|zh""]",0.19999999999999996,zh
1001483,zh-en,在哪里可以找到orcs skyrim,"[""7830872|en"", ""7830872|es"", ""7830872|zh""]","[""7892766|zh"", ""7908936|zh"", ""8000957|zh"", ""7808191|zh"", ""7090664|zh"", ""7204661|zh"", ""7095246|zh"", ""7487327|zh"", ""8007522|zh"", ""7078672|zh""]",0.4285714285714286,zh
1001485,zh-en,snapshots存储在哪里,"[""7261836|en"", ""7261836|es"", ""7261836|zh""]","[""7681407|zh"", ""7261836|zh"", ""8000957|zh"", ""7261645|zh"", ""7373623|zh"", ""7396514|zh"", ""7532949|zh"", ""7802357|zh"", ""7199649|zh"", ""7701732|zh""]",0.25,zh
1001553,zh-en,哪里可以找到天际的night gate inn,"[""7889359|en"", ""7889359|es"", ""7889359|zh""]","[""7889359|zh"", ""7095246|zh"", ""354750|zh"", ""7468857|zh"", ""7285054|zh"", ""7105586|zh"", ""7078672|zh"", ""7863547|zh"", ""7080821|zh"", ""7739661|zh""]",0.2857142857142857,zh
1001585,zh-en,哪里可以找到整片bay leaves,"[""7829476|en"", ""7829476|es"", ""7829476|zh""]","[""7407140|zh"", ""7877797|zh"", ""7078546|zh"", ""7095246|zh"", ""7902167|zh"", ""7492209|zh"", ""7873538|zh"", ""7078672|zh"", ""337255|zh"", ""7376324|zh""]",0.33333333333333337,zh
1001614,zh-en,内森的hot dogs是在哪里做的,"[""7261688|en"", ""7261688|es"", ""7261688|zh""]","[""7261688|zh"", ""7226279|zh"", ""7166393|zh"", ""3045169|zh"", ""7228998|zh"", ""7495093|zh"", ""7871089|zh"", ""7447995|zh"", ""7849522|zh"", ""7355752|zh""]",0.125,zh
1001754,zh-en,mdt任务序列stored在哪里,"[""7261645|en"", ""7261645|es"", ""7261645|zh""]","[""7261645|zh"", ""7396514|zh"", ""8000957|zh"", ""7679151|zh"", ""7863547|zh"", ""7463792|zh"", ""7889379|zh"", ""7095246|zh"", ""6519900|zh"", ""7174316|zh""]",0.16666666666666663,zh
1001774,zh-en,卖车时在哪里sign title,"[""7959460|en"", ""7959460|es"", ""7959460|zh""]","[""7508018|zh"", ""7938563|zh"", ""7959460|zh"", ""7362618|zh"", ""450426|zh"", ""7126829|zh"", ""7300488|zh"", ""7143645|zh"", ""7176630|zh"", ""7661963|zh""]",0.19999999999999996,zh
1001867,zh-en,define ： allo,"[""7261535|en"", ""7261535|es"", ""7261535|zh""]","[""7182356|en"", ""7261535|en"", ""7016640|en"", ""275155|en"", ""4194291|en"", ""7822644|en"", ""275155|es"", ""2158081|en"", ""7569244|en"", ""7552122|en""]",0.5,en
1001903,zh-en,define ： （取消）,"[""7261459|en"", ""7261459|es"", ""7261459|zh""]","[""7261459|zh"", ""7381328|zh"", ""7775740|zh"", ""7881215|zh"", ""7659370|zh"", ""7678527|zh"", ""6166672|zh"", ""7993251|zh"", ""7372091|zh"", ""7214434|zh""]",0.5,zh
1001904,zh-en,energy power plants在哪里,"[""7261449|en"", ""7261449|es"", ""7261449|zh""]","[""7214632|zh"", ""7087940|zh"", ""7343612|zh"", ""7723754|zh"", ""7732156|zh"", ""7524541|zh"", ""7579062|zh"", ""5926524|zh"", ""7878787|zh"", ""7117874|zh""]",0.6,zh
1001929,zh-en,axon突丘在哪里,"[""4202492|en"", ""4202492|es"", ""4202492|zh""]","[""4202492|zh"", ""7674518|zh"", ""7720508|zh"", ""7524544|zh"", ""7892766|zh"", ""7896317|zh"", ""7095246|zh"", ""3003239|zh"", ""7674292|zh"", ""7908936|zh""]",0.6666666666666667,zh
1001997,zh-en,当你是一名civil engineer时，你会做什么,"[""7261245|en"", ""7261245|es"", ""7261245|zh""]","[""7860885|zh"", ""896966|zh"", ""7237531|zh"", ""7509196|zh"", ""7820089|zh"", ""7938563|zh"", ""7456010|zh"", ""7948319|zh"", ""7697631|zh"", ""7725198|zh""]",0.19999999999999996,zh
1002022,zh-en,define zarf,"[""7261129|en"", ""7261129|es"", ""7261129|zh""]","[""7261129|en"", ""552451|en"", ""7733332|en"", ""7389417|en"", ""7432951|en"", ""7410576|en"", ""7185054|en"", ""1820847|en"", ""7300227|en"", ""7306816|en""]",0.5,en
1002140,zh-en,我什么时候能收到我的refund irs,"[""4005338|en"", ""4005338|es"", ""4005338|zh""]","[""7901388|zh"", ""4005338|zh"", ""3860357|zh"", ""2206887|zh"", ""7820904|zh"", ""7575164|zh"", ""7627837|zh"", ""7594819|zh"", ""4704314|zh"", ""7359458|zh""]",0.11111111111111116,zh
1002146,zh-en,什么时候released,"[""7260903|en"", ""7260903|es"", ""7260903|zh""]","[""7279876|zh"", ""7260342|zh"", ""7616367|zh"", ""7822047|zh"", ""7879771|zh"", ""7259912|zh"", ""7879859|zh"", ""7806321|zh"", ""7161120|zh"", ""7923778|zh""]",0.33333333333333337,zh
1002148,zh-en,富士康什么时候开始manufacturing,"[""7260887|en"", ""7260887|es"", ""7260887|zh""]","[""7260887|zh"", ""7944569|zh"", ""7529532|zh"", ""7254922|zh"", ""8009106|zh"", ""7122735|zh"", ""7514803|zh"", ""7387135|zh"", ""7871055|zh"", ""7968067|zh""]",0.19999999999999996,zh
1002169,zh-en,速度与激情什么时候全面open,"[""7260852|en"", ""7260852|es"", ""7260852|zh""]","[""7260852|zh"", ""7803318|zh"", ""7675542|zh"", ""7438194|zh"", ""7254922|zh"", ""7257078|zh"", ""7765190|zh"", ""7255418|zh"", ""7260903|zh"", ""7825091|zh""]",0.1428571428571429,zh
1002184,zh-en,wurlitzer蝴蝶钢琴是什么时候built的,"[""7260775|en"", ""7260775|es"", ""7260775|zh""]","[""7260775|zh"", ""7122735|zh"", ""7529532|zh"", ""7824358|zh"", ""7802959|zh"", ""7147797|zh"", ""7825091|zh"", ""7699972|zh"", ""7923778|zh"", ""7879859|zh""]",0.125,zh
1002190,zh-en,connie mack stadium在哪里,"[""7749434|en"", ""7749434|es"", ""7749434|zh""]","[""7749434|zh"", ""7509891|zh"", ""7821862|zh"", ""7095246|zh"", ""7823940|zh"", ""2768230|zh"", ""7959497|zh"", ""7105586|zh"", ""7866317|zh"", ""7094624|zh""]",0.6,zh
1002216,zh-en,丹尼尔雷德克里夫born在哪里,"[""7913227|en"", ""7913227|es"", ""7913227|zh""]","[""7913227|zh"", ""7976839|zh"", ""7857215|zh"", ""7940491|zh"", ""7266516|zh"", ""7242742|zh"", ""7231993|zh"", ""7782982|zh"", ""8003474|zh"", ""7870634|zh""]",0.16666666666666663,zh
1002225,zh-en,迪士尼乐园美元什么时候discontinued,"[""7260682|en"", ""7260682|es"", ""7260682|zh""]","[""7260682|zh"", ""7831044|zh"", ""7397218|zh"", ""7909732|zh"", ""7333719|zh"", ""4926856|zh"", ""7259987|zh"", ""7421082|zh"", ""7833333|zh"", ""7954208|zh""]",0.16666666666666663,zh
1002325,zh-en,什么时候被twisted释放,"[""7260471|en"", ""7260471|es"", ""7260471|zh""]","[""7114596|zh"", ""7260471|zh"", ""4000917|zh"", ""7355752|zh"", ""7675542|zh"", ""7597237|zh"", ""7309073|zh"", ""1140905|zh"", ""7258921|zh"", ""7801893|zh""]",0.19999999999999996,zh
1002345,zh-en,mango street的房子是什么时候发表的,"[""7260450|en"", ""7260450|es"", ""7260450|zh""]","[""7260450|zh"", ""7104348|zh"", ""7870634|zh"", ""7893854|zh"", ""7259101|zh"", ""7578188|zh"", ""7176952|zh"", ""7859065|zh"", ""7254379|zh"", ""7514803|zh""]",0.2222222222222222,zh
1002373,zh-en,你的eyes只在哪儿拍的？,"[""7747666|en"", ""7747666|es"", ""7747666|zh""]","[""7747666|zh"", ""7607116|zh"", ""1310066|zh"", ""7095246|zh"", ""7600017|zh"", ""7899122|zh"", ""7938563|zh"", ""7188975|zh"", ""7674392|zh"", ""7403659|zh""]",0.125,zh
1002387,zh-en,fort washington battle在哪里,"[""7754487|en"", ""7754487|es"", ""7754487|zh""]","[""7468857|zh"", ""7266516|zh"", ""7096888|zh"", ""2768230|zh"", ""7754487|zh"", ""7263043|zh"", ""7958213|zh"", ""7095246|zh"", ""7447340|zh"", ""7976839|zh""]",0.6,zh
1002393,zh-en,美国和墨西哥之间的war是什么时候,"[""3429513|en"", ""3429513|es"", ""3429513|zh""]","[""3429513|zh"", ""4500378|zh"", ""960180|zh"", ""7593959|zh"", ""7859065|zh"", ""7392258|zh"", ""7288712|zh"", ""7122835|zh"", ""7930080|zh"", ""7263043|zh""]",0.11111111111111116,zh
1002402,zh-en,嘿裘德这首song是什么时候released的，是什么乐队的,"[""7260338|en"", ""7260338|es"", ""7260338|zh"", ""7260342|en"", ""7260342|es"", ""7260342|zh""]","[""7260342|zh"", ""2562120|zh"", ""7826444|zh"", ""7813296|zh"", ""7892555|zh"", ""7806321|zh"", ""7293277|zh"", ""7279876|zh"", ""7286890|zh"", ""7294368|zh""]",0.23076923076923073,zh
1002436,zh-en,shazam movie什么时候上映？ df qewfwefwefwefwefwefwwefwefwefwefwefwefwefwefwefwefef,"[""7260301|en"", ""7260301|es"", ""7260301|zh""]","[""7260301|es"", ""7260301|en"", ""7362321|zh"", ""7218253|zh"", ""7362321|es"", ""7260301|zh"", ""7260903|zh"", ""7902128|es"", ""4000917|zh"", ""7769449|zh""]",0.5,es
1002437,zh-en,giles corey在哪里出生,"[""7799663|en"", ""7799663|es"", ""7799663|zh""]","[""7799663|zh"", ""7731333|zh"", ""1091351|zh"", ""7272020|zh"", ""7778939|zh"", ""7289840|zh"", ""7603149|zh"", ""7721666|zh"", ""7852772|zh"", ""7164569|zh""]",0.5,zh
1002495,zh-en,define万古霉素,"[""7260093|en"", ""7260093|es"", ""7260093|zh""]","[""7260093|zh"", ""7596756|zh"", ""7665522|zh"", ""7603660|zh"", ""7957303|zh"", ""1849461|zh"", ""7741669|zh"", ""7245533|zh"", ""7542773|zh"", ""7513244|zh""]",0.5,zh
1002506,zh-en,耶和华见证人是什么时候founded的,"[""7260033|en"", ""7260033|es"", ""7260033|zh""]","[""7260033|zh"", ""7794744|zh"", ""7287590|zh"", ""7869456|zh"", ""7487327|zh"", ""7099995|zh"", ""7548874|zh"", ""8003241|zh"", ""7743539|zh"", ""7769204|zh""]",0.1428571428571429,zh
1002517,zh-en,half cent coin什么时候停产,"[""7259987|en"", ""7259987|es"", ""7259987|zh""]","[""7260682|zh"", ""7259987|zh"", ""7092609|zh"", ""7610732|zh"", ""7700562|zh"", ""7243959|zh"", ""7355752|zh"", ""7275759|zh"", ""7254922|zh"", ""7849778|zh""]",0.4,zh
1002543,zh-en,第一次正式的hockey game是什么时候,"[""7259931|en"", ""7259931|es"", ""7259931|zh""]","[""7259931|zh"", ""7259912|zh"", ""3042850|zh"", ""7485268|zh"", ""7255377|zh"", ""7907858|zh"", ""7115832|zh"", ""2268824|zh"", ""7243959|zh"", ""7803318|zh""]",0.25,zh
1002545,zh-en,第一款Fifa game是什么时候发布的,"[""7259912|en"", ""7259912|es"", ""7259912|zh""]","[""7259912|zh"", ""7529532|zh"", ""7803318|zh"", ""7115832|zh"", ""7843644|zh"", ""7323684|zh"", ""7373916|zh"", ""7661522|zh"", ""7469470|zh"", ""7197845|zh""]",0.125,zh
1002554,zh-en,define未切割？,"[""7259880|en"", ""7259880|es"", ""7259880|zh""]","[""7259880|zh"", ""7800276|zh"", ""7077506|zh"", ""7307998|zh"", ""240751|zh"", ""7690222|zh"", ""7519834|zh"", ""7695210|zh"", ""7239292|zh"", ""458748|zh""]",0.5,zh
1002568,zh-en,第一个dossier是什么时候,"[""7259868|en"", ""7259868|es"", ""7259868|zh""]","[""7809505|zh"", ""7239527|zh"", ""7590535|zh"", ""7122735|zh"", ""7774337|zh"", ""7610327|zh"", ""815013|zh"", ""4000917|zh"", ""7303460|zh"", ""7767788|zh""]",0.19999999999999996,zh
1002605,zh-en,lyons的courthouse是什么时候建造的,"[""7259749|en"", ""7259749|es"", ""7259749|zh""]","[""7259749|zh"", ""7117100|zh"", ""7825091|zh"", ""7926959|zh"", ""7883577|zh"", ""7702111|zh"", ""4779212|zh"", ""7939551|zh"", ""7272979|zh"", ""1720664|zh""]",0.33333333333333337,zh
1002606,zh-en,综合综合budget reconciliation act （眼镜蛇）是什么时候created的,"[""7259727|en"", ""7259727|es"", ""7259727|zh""]","[""7259727|zh"", ""7809949|zh"", ""7822047|zh"", ""7422674|zh"", ""7363043|zh"", ""7959889|zh"", ""7258588|zh"", ""635313|zh"", ""7512955|zh"", ""7480598|zh""]",0.36363636363636365,zh
1002632,zh-en,jane austen buried在哪里,"[""7794313|en"", ""7794313|es"", ""7794313|zh""]","[""7794313|zh"", ""3045169|zh"", ""7298537|zh"", ""7202470|zh"", ""7087585|zh"", ""7728998|zh"", ""7763592|zh"", ""7923213|zh"", ""7542932|zh"", ""7224371|zh""]",0.6,zh
1002636,zh-en,我是马拉拉这本书什么时候published的,"[""7259638|en"", ""7259638|es"", ""7259638|zh""]","[""7259638|zh"", ""7336977|zh"", ""7260450|zh"", ""7810625|zh"", ""2252799|zh"", ""7796794|zh"", ""7243697|zh"", ""7816768|zh"", ""7424454|zh"", ""7333719|zh""]",0.09999999999999998,zh
1002644,zh-en,alaska state fair是什么时候incorporated的,"[""7259598|en"", ""7259598|es"", ""7259598|zh""]","[""7259598|zh"", ""7493329|zh"", ""7631894|zh"", ""7493328|zh"", ""7084892|zh"", ""7860975|zh"", ""7243247|zh"", ""7903043|zh"", ""3692114|zh"", ""2422558|zh""]",0.4285714285714286,zh
1002645,zh-en,定义define tweaks,"[""7259583|en"", ""7259583|es"", ""7259583|zh""]","[""7973956|zh"", ""7262592|zh"", ""7168573|zh"", ""7182356|zh"", ""7404326|zh"", ""7555352|zh"", ""7277016|zh"", ""7630225|zh"", ""7257216|zh"", ""5670400|zh""]",0.5,zh
1002648,zh-en,agate pass bridge是什么时候建造的？,"[""7259556|en"", ""7259556|es"", ""7259556|zh""]","[""7939551|zh"", ""7665930|zh"", ""7852576|zh"", ""7776424|zh"", ""7256507|zh"", ""7809949|zh"", ""7474385|zh"", ""7825091|zh"", ""7259556|zh"", ""7749434|zh""]",0.2857142857142857,zh
